base_price,discounted_price,product_name,category,brand,description
6.69,6.69,Tartines Craquantes à La Châtaigne Sans Gluten 300g Bio,Epicerie sucrée,Le pain des fleurs,Tartines craquantes à la châtaigne sans gluten 300G Bio.
3.93,3.93,Tartines Craquantes Fourrées à La Noisette 125 g,Epicerie sucrée,Le pain des fleurs,Les 
3.39,3.39,Sablés Caramel Beurre Salé Sans Gluten 135g Bio,Epicerie sucrée,Nature et compagnie,Sablés Caramel Beurre salé sans gluten 135G Bio.
3.69,3.69,Petits Sablés à La Noix De Coco Sans Gluten 150g Bio,Epicerie sucrée,Ma vie sans gluten,Petits Sablés à la Noix De Coco sans gluten 150G Bio.
3.5,3.5,Spaghetti Des Andes Quinoa & Amarante Sans Gluten 250g Bio,Epicerie Salée,Ma vie sans gluten, 
4.95,4.95,Crosti Riz Soufflé Choco Sans Gluten 425g Bio,Epicerie sucrée,Favrichon,Céréales enfants Crosti riz soufflé choco 425g Bio.
3.3,3.3,Haricots Verts Extra-fins Sans Sel Ajouté 345g Bio,Epicerie Salée,Prosain,"Haricots Verts extra fins bio cultivés en France, sélectionnés pour leur qualité et leur saveur."
3.25,3.25,Lentilles Hyposodes 345g Bio,Régime Particulier,Prosain,•Lentilles vertes cultivées en France
3.99,3.99,Tartines Craquantes à La Figue Sans Gluten 150g Bio,Epicerie sucrée,Le pain des fleurs,Tartines craquantes Bio à la figue.
3.65,3.65,Mini Penne Des Andes Sans Gluten 250g Bio,Epicerie Salée,Ma vie sans gluten,"Découvrez ces délicieuses pennes des Andes sans gluten, tricolores et multi-céréales (riz, quinao et amarante). Le"
3.79,3.79,Tartines Craquantes à La Noix De Coco Sans Gluten 150g Bio,Epicerie sucrée,Le pain des fleurs,Tartines craquantes Bio à la noix de coco. 
3.55,3.55,Biscuits Equi'libre Épeautre & Chocolat 150g Bio,Epicerie sucrée,Moulin du pivert,Biscuits Equi'Libre Épeautre & Chocolat 150G Bio.
3.75,3.75,Sablés Au Sarrasin Sans Gluten 125g Bio,Epicerie sucrée,Valpibio,Sablés au Sarrasin sans gluten 125G Bio.
4.49,4.49,Crosti Boules Choco Sans Gluten 400g Bio,Epicerie sucrée,Favrichon,Céréales enfants Crosti boules choco 400g Bio.
1.89,1.89,Boisson Avoine Nature 1l Bio,Boissons,Bonneterre,Boisson Avoine Nature 1L Bio.
3.19,3.19,Purée Pomme Mirabelle Sans Sucres Ajoutés 360g Bio,Epicerie sucrée,Coteaux nantais,Purée Pomme Mirabelle sans sucres ajoutés 360G Bio.
4.44,4.44,Cool Fruits Pomme Poire & Acérola 4x90g Bio,Epicerie sucrée,Vitabio,Cool Fruits Pomme Poire & Acérola 4x90G Bio.
4.45,4.45,Cool Fruits Pomme Pêche Abricot & Acerola 4x90g Bio,Epicerie sucrée,Vitabio,Cool Fruits Pomme Pêche Abricot & Acerola 4x90G Bio.
4.45,4.45,Cool Fruits Pomme Banane & Acerola 4x90g Bio,Epicerie sucrée,Vitabio,Cool Fruits Pomme Banane & Acerola 4x90G Bio.
3.55,3.55,Purée Mangue Rhubarbe Sans Sucres Ajoutés 350g Bio,Epicerie sucrée,Coteaux nantais,Purée Mangue Rhubarbe sans sucres ajoutés 350G Bio.
3.45,3.45,Biscuits Equi'libre Céréales Et Graines 150g Bio,Epicerie sucrée,Moulin du pivert,Biscuits Equi'Libre céréales et graines 150G Bio.
4.5,4.5,Purée Pomme Mangue Demeter Sans Sucres Ajoutés 630g Bio,Epicerie sucrée,Coteaux nantais,Purée Pomme Mangue Demeter sans sucres ajoutés 630G Bio.
3.69,3.69,Dessert Pomme Mirabelle Sans Sucres Ajoutés 4x110g Bio,Epicerie sucrée,Danival,Dessert Pomme Mirabelle sans sucres ajoutés 4x110G Bio.
4.35,4.35,Cool Fruits Pomme Mangue Ananas 4x90g Bio,Epicerie sucrée,Vitabio,Cool Fruits Pomme mangue ananas 4x90G Bio.
8.99,8.99,Gel Moussant Familial 500ml Bio,Enfant,Cattier,Moussant familial 500Ml Bio.
4.35,4.35,Cool Fruits Pomme Fraise Myrtille & Acerola 4x90g Bio,Epicerie sucrée,Vitabio,Cool Fruits Pomme Fraise Myrtille & Acerola 4x90G Bio.
2.55,2.55,Biscuits Au Comté 100g Bio,Epicerie Salée,Dao,Biscuits au Comté 100G Bio.
3.1,3.1,Twibio Figues 150g Bio,Epicerie sucrée,Moulin du pivert,Twibio Figues 150G Bio.
1.09,1.09,Cool Fruits Jaunes 90g Bio,Epicerie sucrée,Vitabio,Dessert de Fruits Bio au concentré de fruits.
2.49,2.49,Petit Beurre 170g Bio,Epicerie sucrée,Moulin du pivert,12 biscuits bio gourmands au beurre frais et au lait cru.
3.1,3.1,Twibio Chocolat Noir 150g Bio,Epicerie sucrée,Moulin du pivert,Twibio Chocolat noir 150G Bio.
3.1,3.1,Twibio Fraise 150g Bio,Epicerie sucrée,Moulin du pivert,Twibio Fraise 150G Bio.
